timestamp,container,cpu_percent,memory_usage,memory_limit,memory_percent
2026-09-07T12:42:16-03:00,scenario_2-service_a-1,21.06%,107.1MiB,19.44GiB,0.54%
2026-09-07T12:42:16-03:00,scenario_2-service_b-1,29.91%,99.05MiB,19.44GiB,0.50%
2026-09-07T12:42:21-03:00,scenario_2-service_a-1,82.91%,108.4MiB,19.44GiB,0.54%
2026-09-07T12:42:21-03:00,scenario_2-service_b-1,32.29%,99.05MiB,19.44GiB,0.50%
2026-09-07T12:42:26-03:00,scenario_2-service_a-1,130.61%,108.9MiB,19.44GiB,0.55%
2026-09-07T12:42:26-03:00,scenario_2-service_b-1,89.19%,112.6MiB,19.44GiB,0.57%
2026-09-07T12:42:31-03:00,scenario_2-service_a-1,168.01%,108.5MiB,19.44GiB,0.55%
2026-09-07T12:42:31-03:00,scenario_2-service_b-1,54.48%,99.9MiB,19.44GiB,0.50%
2026-09-07T12:42:37-03:00,scenario_2-service_a-1,212.69%,111.9MiB,19.44GiB,0.56%
2026-09-07T12:42:37-03:00,scenario_2-service_b-1,103.75%,108.8MiB,19.44GiB,0.55%
2026-09-07T12:42:42-03:00,scenario_2-service_a-1,165.07%,114.5MiB,19.44GiB,0.58%
2026-09-07T12:42:42-03:00,scenario_2-service_b-1,74.60%,110.2MiB,19.44GiB,0.55%
2026-09-07T12:42:47-03:00,scenario_2-service_a-1,169.62%,115.1MiB,19.44GiB,0.58%
2026-09-07T12:42:47-03:00,scenario_2-service_b-1,94.35%,103.2MiB,19.44GiB,0.52%
2026-09-07T12:42:52-03:00,scenario_2-service_a-1,220.81%,115.3MiB,19.44GiB,0.58%
2026-09-07T12:42:52-03:00,scenario_2-service_b-1,122.48%,115.5MiB,19.44GiB,0.58%
2026-09-07T12:42:57-03:00,scenario_2-service_a-1,256.80%,114.9MiB,19.44GiB,0.58%
2026-09-07T12:42:57-03:00,scenario_2-service_b-1,64.38%,104.6MiB,19.44GiB,0.53%
2026-09-07T12:43:02-03:00,scenario_2-service_a-1,129.03%,114.6MiB,19.44GiB,0.58%
2026-09-07T12:43:02-03:00,scenario_2-service_b-1,93.97%,105.1MiB,19.44GiB,0.53%
2026-09-07T12:43:08-03:00,scenario_2-service_a-1,175.66%,114.5MiB,19.44GiB,0.58%
2026-09-07T12:43:08-03:00,scenario_2-service_b-1,75.64%,105.1MiB,19.44GiB,0.53%
2026-09-07T12:43:13-03:00,scenario_2-service_a-1,202.63%,115MiB,19.44GiB,0.58%
2026-09-07T12:43:13-03:00,scenario_2-service_b-1,153.11%,116.7MiB,19.44GiB,0.59%
2026-09-07T12:43:18-03:00,scenario_2-service_a-1,132.52%,114.8MiB,19.44GiB,0.58%
2026-09-07T12:43:18-03:00,scenario_2-service_b-1,144.76%,106.8MiB,19.44GiB,0.54%
2026-09-07T12:43:23-03:00,scenario_2-service_a-1,131.15%,114.9MiB,19.44GiB,0.58%
2026-09-07T12:43:23-03:00,scenario_2-service_b-1,89.57%,106.9MiB,19.44GiB,0.54%
2026-09-07T12:43:28-03:00,scenario_2-service_a-1,204.24%,114.6MiB,19.44GiB,0.58%
2026-09-07T12:43:28-03:00,scenario_2-service_b-1,97.17%,106.8MiB,19.44GiB,0.54%
2026-09-07T12:43:33-03:00,scenario_2-service_a-1,225.54%,114.9MiB,19.44GiB,0.58%
2026-09-07T12:43:33-03:00,scenario_2-service_b-1,81.16%,106.7MiB,19.44GiB,0.54%
2026-09-07T12:43:39-03:00,scenario_2-service_a-1,121.55%,114.6MiB,19.44GiB,0.58%
2026-09-07T12:43:39-03:00,scenario_2-service_b-1,123.32%,107.1MiB,19.44GiB,0.54%
2026-09-07T12:43:44-03:00,scenario_2-service_a-1,139.08%,114.9MiB,19.44GiB,0.58%
2026-09-07T12:43:44-03:00,scenario_2-service_b-1,76.37%,106.5MiB,19.44GiB,0.53%
2026-09-07T12:43:49-03:00,scenario_2-service_a-1,167.42%,115.3MiB,19.44GiB,0.58%
2026-09-07T12:43:49-03:00,scenario_2-service_b-1,81.29%,106.8MiB,19.44GiB,0.54%
2026-09-07T12:43:54-03:00,scenario_2-service_a-1,138.29%,115.1MiB,19.44GiB,0.58%
2026-09-07T12:43:54-03:00,scenario_2-service_b-1,65.65%,107MiB,19.44GiB,0.54%
2026-09-07T12:43:59-03:00,scenario_2-service_a-1,170.92%,114.5MiB,19.44GiB,0.58%
2026-09-07T12:43:59-03:00,scenario_2-service_b-1,79.22%,106.6MiB,19.44GiB,0.54%
2026-09-07T12:44:04-03:00,scenario_2-service_a-1,174.41%,114.3MiB,19.44GiB,0.57%
2026-09-07T12:44:04-03:00,scenario_2-service_b-1,101.81%,106.9MiB,19.44GiB,0.54%
2026-09-07T12:44:10-03:00,scenario_2-service_a-1,156.24%,115.1MiB,19.44GiB,0.58%
2026-09-07T12:44:10-03:00,scenario_2-service_b-1,102.27%,115.6MiB,19.44GiB,0.58%
2026-09-07T12:44:15-03:00,scenario_2-service_a-1,203.41%,114.3MiB,19.44GiB,0.57%
2026-09-07T12:44:15-03:00,scenario_2-service_b-1,66.33%,107MiB,19.44GiB,0.54%
2026-09-07T12:44:20-03:00,scenario_2-service_a-1,21.73%,113.3MiB,19.44GiB,0.57%
2026-09-07T12:44:20-03:00,scenario_2-service_b-1,0.04%,105.8MiB,19.44GiB,0.53%
